date,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
10/4/09,6.681127983,11.71403156,11.69064748,5.412864292,4.177718833,5.756566778,11.33617626,7.996502791,10.12332045,7.260821417,1.247680594,6.635822868,0.369458128,2.041742287,5.013490619,5.170466577,7.929634641,6.974096214,1.009708738,3.1510286,15.72920484,4.729217552,1.502192194,2.36955336,8.021059151,6.109366824,1.887802919,6.851754845,6.481481481,3.687230065,13.29740752,6.131682962,6.088217022,2.616738101,5.833498121,4.663367821,3.880302532
10/11/09,6.766595289,9.333333333,15.00818628,6.083715351,6.565014824,5.05170019,11.30892171,10.73266037,5.202038779,9.149610839,1.873373172,5.710760553,0.735710243,3.179672313,6.143647919,5.344757242,12.87375415,12.5,1.192250373,4.259494401,18.50728749,6.822456084,3.36916081,4.851452097,10.09072099,6.932111143,2.309574794,6.308213378,10.09615385,4.196796648,12.80421302,12.69706008,8.912076109,3.415270829,8.497337347,5.526189332,6.78555506
10/18/09,7.611438183,7.273329286,12.16360043,3.839384389,12.44364292,5.902007361,9.019843656,11.28638498,5.80268881,9.313610851,3.126462917,7.830826549,1.120923913,8.050344336,5.198840099,5.15259049,11.99738903,12.72836178,1.26889345,7.119275375,10.86097946,4.306875967,6.85961479,8.863636364,9.206023272,8.532581661,5.286183011,3.897699352,8.77016129,3.905350978,11.06729836,13.82892969,14.54038917,7.232704403,8.210526316,8.418069678,12.4956309
10/25/09,7.210031348,7.836503799,9.673560075,3.230018819,9.708042271,5.64204395,7.393966886,8.196823419,4.904061799,7.467032967,4.322235972,7.977126519,1.390568319,9.827586207,4.382259768,4.708815672,6.8324757,9.530791789,4.229195089,11.7131178,8.651673302,3.564028181,8.687808583,7.917297025,7.633851468,8.955901427,9.368591473,4.525916561,5.100830368,4.456052106,9.377208035,12.27409639,14.73018753,12.42819843,6.835002177,7.566346697,14.49801279
11/1/09,3.989242492,7.175213914,7.686567164,3.267176856,6.373462542,5.468195468,4.770992366,6.575290551,3.94198363,6.910607641,6.043391379,7.488151659,2.665121669,8.659003831,3.082522469,3.30237017,9.438236182,6.976744186,5.269781343,13.10608032,6.24934023,2.766886473,7.865436995,5.7922403,5.208908522,7.449429461,12.73899033,3.540097017,2.837837838,3.25509168,6.429294998,9.98438415,10.11299526,12.58383339,5.282292558,7.112511991,10.74883827
11/8/09,3.277236492,5.823701257,5.424769703,2.442443293,5.004314064,5.040311957,4.379562044,4.440810988,2.936841531,5.289586583,5.257572542,5.622634709,2.948275862,5.731609656,2.261494683,2.948775363,4.245283019,5.429200293,4.193927193,10.14095852,5.819746377,2.234662506,5.748329844,3.71173658,3.2881692,4.485360282,9.523809524,2.398156875,2.053140097,2.469296251,6.872014495,6.415451818,6.879280384,9.320425209,4.353680431,4.50250139,8.812346231
11/15/09,3.453169347,5.567101203,4.043486553,1.674894217,2.862254025,4.163136192,2.497477296,3.227340671,2.477147049,5.123129767,3.245174706,3.776369477,3.231292517,3.421966634,1.620215533,2.466504263,2.814380999,2.641056423,3.839832661,6.810035842,5.021147381,2.90842894,4.070418778,2.381223005,2.598808879,3.379319955,5.414803775,2.553718079,1.775956284,2.394000577,6.11146401,3.654760588,4.247564309,7.213688509,3.132918682,3.910711196,5.961633868
11/22/09,2.829711976,4.60196697,5.761663856,2.437830429,1.34430727,5.091103966,2.364149612,2.098742604,1.725861265,5.061596144,2.452256944,3.994190269,2.790207949,2.490238612,1.055913113,1.76110618,2.438116508,4.069264069,2.775897089,6.471306471,5.102467587,3.313053097,2.495501838,1.803545166,1.597204891,2.261830311,3.02340029,1.421975993,1.408450704,1.673992331,4.13889754,2.765757291,3.557698175,2.997982127,2.804333971,1.704834606,4.550526968
11/29/09,2.341920375,4.531722054,3.677085074,1.450123846,0.716763006,4.036070741,2.288853285,1.737767035,1.601792215,4.350263482,1.593373589,2.810670137,1.614022909,1.608579088,0.691748429,1.442538388,2.335869758,3.795483061,1.022676745,3.99368033,4.571217348,2.282363554,1.704774521,1.015312916,1.54389881,1.400414938,2.372927059,1.308270677,0.667556742,1.564414966,3.895263459,1.81146676,3.190589827,2.143351003,1.416287304,1.506622517,1.776973824
12/6/09,4.459930314,4.525040827,3.157650337,1.412273438,1.302844988,3.429259635,1.864115771,1.421664141,1.388888889,5.086395717,1.258452292,3.405693488,1.168907072,1.835578988,0.672489758,1.349958116,2.02764977,4.966887417,0.701334246,4.279164544,3.187959232,1.836056094,1.50273224,0.883090246,0.843525938,1.31424344,1.790750141,0.936838924,0.296296296,1.276254376,3.561151964,1.133485309,2.836548337,2.21978022,1.106500692,1.17820324,2.53845428
12/13/09,2.59009009,4.371775206,2.451288498,1.272927734,1.260151218,3.800114003,1.495140792,1.363004172,1.114399043,3.4625323,1.0891903,2.155089475,0.982091277,1.195761134,0.681494795,0.945052482,2.016278209,2.049731183,0.607533414,3.556549131,2.978672703,0.986121256,0.979040265,0.687891885,0.97934852,1.748151545,1.03950104,0.871496924,0.68119891,1.234241382,5.573493235,0.841750842,2.739809866,2.344322344,1.622874807,1.705197573,2.569363032
12/20/09,3.815789474,5.003207184,2.5337282,1.43442623,1.220752798,4.758330832,2.356602935,1.280743511,1.071939019,4.599108158,1.346768248,3.284104159,1.123889179,1.445358402,0.819924157,1.213286972,1.858893114,1.288244767,0.512528474,3.303185214,4.680714171,1.427291347,1.125439625,0.564459228,1.051709027,2.172077673,0.955324529,1.405936175,0.373134328,1.498677637,4.233017537,0.805249031,2.780684417,1.556970984,1.444622793,1.017087063,2.794583693
